Team,Turnover %,Get fouled rate,2 pt rate,2 pt percentage,3 pt rate,3 pt percentage,Dreb percentage,Oreb percentage,Ft percentage,Poss/Game,ORTG,DRTG,Opponent DRTG
Georgia So,0.142,0.247,0.511,0.527,0.489,0.334,0.671,0.262,0.743,74,110.3,116.3,111.8
Georgia St,0.155,0.261,0.576,0.429,0.424,0.306,0.68,0.248,0.786,70.9,99.4,112.4,111.3
Georgia Tech,0.181,0.23,0.668,0.487,0.332,0.351,0.72,0.264,0.711,73.9,107.5,107.3,106.1
Gonzaga,0.133,0.24,0.692,0.582,0.308,0.333,0.763,0.341,0.707,72,121.1,94.1,107.3
Grambling,0.207,0.252,0.619,0.489,0.381,0.323,0.692,0.284,0.729,70.9,97,108.6,112.6
Grand Canyon,0.174,0.287,0.611,0.542,0.389,0.318,0.757,0.312,0.753,70.1,111.3,97.7,107.9
Green Bay,0.156,0.263,0.627,0.55,0.373,0.364,0.73,0.226,0.775,66.8,112.7,116.2,112.2
Hampton,0.165,0.278,0.629,0.471,0.371,0.288,0.728,0.289,0.725,68.9,102.4,111.8,110.4
Harvard,0.171,0.212,0.598,0.54,0.402,0.347,0.74,0.248,0.808,66.2,106.6,105.5,111.6
Hawai'i,0.184,0.273,0.602,0.549,0.398,0.317,0.767,0.29,0.735,74.6,107.2,101.6,110.1
High Point,0.125,0.264,0.564,0.57,0.436,0.342,0.707,0.302,0.743,73.4,117.5,107.9,112.7
Hofstra,0.157,0.247,0.572,0.481,0.428,0.371,0.715,0.334,0.758,67.9,114.4,105.3,109.1
Holy Cross,0.15,0.23,0.627,0.504,0.373,0.325,0.74,0.192,0.772,67,100.9,117.4,113.3
Hou Christian,0.184,0.239,0.635,0.509,0.365,0.317,0.697,0.274,0.694,66.5,103,114.1,110
Houston,0.124,0.236,0.593,0.517,0.407,0.347,0.728,0.338,0.773,67.1,124.7,90.7,103.4
Howard,0.187,0.27,0.653,0.494,0.347,0.358,0.716,0.326,0.74,71.7,104.9,107.5,114.6
Idaho,0.146,0.262,0.53,0.516,0.47,0.341,0.783,0.25,0.726,71.3,108.4,107.4,111
Idaho St,0.167,0.279,0.581,0.529,0.419,0.336,0.733,0.316,0.741,68.3,109.4,116.8,110
Illinois,0.129,0.276,0.502,0.579,0.498,0.348,0.745,0.39,0.78,68,131.7,97.4,103.1
Illinois Chicago,0.172,0.261,0.672,0.51,0.328,0.316,0.695,0.342,0.725,69.8,110.4,105,108.6
Illinois St,0.165,0.249,0.568,0.546,0.433,0.349,0.767,0.266,0.712,69,110.4,103,108.6
Incarnate Word,0.167,0.252,0.609,0.477,0.391,0.361,0.705,0.297,0.712,67.2,108.9,117.4,109.1
Indiana,0.147,0.25,0.495,0.603,0.505,0.347,0.726,0.243,0.78,69,120.6,103.3,104.4
Indiana St,0.191,0.212,0.548,0.574,0.452,0.316,0.7,0.228,0.678,71.7,106.1,109.3,107.8
Iona,0.168,0.223,0.541,0.512,0.459,0.351,0.711,0.246,0.707,71.6,104.1,111.7,112.7
Iowa,0.148,0.27,0.57,0.586,0.43,0.356,0.73,0.283,0.769,64.3,123.7,100.3,103.1
Iowa St,0.146,0.244,0.611,0.555,0.389,0.382,0.729,0.327,0.675,70,123.6,91.5,103.2
IU Indy,0.156,0.193,0.579,0.548,0.421,0.324,0.65,0.264,0.721,76.7,105.6,119.4,112.6
J Madison,0.169,0.241,0.575,0.532,0.425,0.354,0.732,0.287,0.703,69.4,109.2,113.2,111.7
Jackson St,0.19,0.247,0.567,0.446,0.433,0.314,0.638,0.272,0.758,73.4,100.2,118.9,111.3
Jacksonville,0.169,0.239,0.626,0.515,0.374,0.317,0.728,0.302,0.723,67,103.1,114.6,113.2
Jacksonville St,0.165,0.273,0.619,0.474,0.381,0.357,0.752,0.278,0.684,68.2,105.3,108.5,110.8
Kansas,0.152,0.226,0.648,0.509,0.352,0.346,0.727,0.279,0.767,70.5,117.7,93.5,101
Kansas City,0.178,0.234,0.632,0.476,0.368,0.284,0.653,0.245,0.662,73.3,92,117.4,111.9
Kansas St,0.171,0.206,0.59,0.524,0.41,0.364,0.671,0.271,0.71,75.4,113.4,106.5,103.3
Kennesaw St,0.162,0.274,0.575,0.505,0.425,0.334,0.724,0.335,0.701,74.7,110.7,109.5,110
Kent St,0.175,0.278,0.551,0.506,0.449,0.35,0.736,0.335,0.744,75.4,111.1,110.5,111.9
Kentucky,0.151,0.253,0.603,0.547,0.397,0.342,0.718,0.321,0.727,71.5,120.4,99.3,103
La Salle,0.177,0.253,0.685,0.456,0.315,0.3,0.703,0.308,0.725,68.5,105.9,111.5,106
Lafayette,0.15,0.25,0.602,0.5,0.398,0.322,0.722,0.233,0.689,68.4,100.7,116.1,113.1
Lamar,0.176,0.23,0.661,0.47,0.339,0.329,0.735,0.342,0.707,67.9,103.2,109.5,109.9
Le Moyne,0.188,0.252,0.592,0.535,0.408,0.343,0.723,0.229,0.718,70.5,102.1,113.9,113.4
Lehigh,0.174,0.24,0.617,0.522,0.383,0.361,0.695,0.212,0.726,69.9,102,113.1,113.8
Liberty,0.131,0.239,0.523,0.602,0.477,0.386,0.689,0.164,0.714,66.5,117.9,113.2,109.1
Lindenwood,0.181,0.241,0.693,0.496,0.307,0.294,0.716,0.311,0.674,75.3,100.5,109.1,112.2
Lipscomb,0.157,0.213,0.521,0.545,0.479,0.357,0.707,0.238,0.749,72,106.9,109.8,114.2
Little Rock,0.18,0.21,0.69,0.479,0.31,0.353,0.646,0.297,0.68,69.2,102.8,115.8,110.1
LIU,0.185,0.247,0.707,0.524,0.293,0.358,0.698,0.331,0.667,70.1,105.7,109.7,113.4
Long Beach St,0.176,0.231,0.652,0.515,0.348,0.327,0.744,0.233,0.725,73.5,105.6,111.5,107.9
Longwood,0.187,0.266,0.652,0.511,0.348,0.314,0.742,0.339,0.74,72.9,103.6,112.6,113
Louisiana,0.163,0.229,0.595,0.449,0.405,0.336,0.72,0.263,0.704,66.1,100.2,113.5,111.1
Louisiana Tech,0.177,0.239,0.666,0.497,0.334,0.285,0.719,0.357,0.672,67.5,103.1,105.8,111.1
Louisville,0.165,0.244,0.471,0.594,0.529,0.36,0.748,0.316,0.761,72.4,123.4,98.9,103.4
Loyola Chi,0.193,0.248,0.523,0.519,0.477,0.317,0.724,0.283,0.673,67.8,103.6,113.5,107.6
Loyola MD,0.151,0.226,0.528,0.519,0.472,0.326,0.738,0.256,0.715,71.1,104.2,119.2,113.4
Loyola Mymt,0.171,0.245,0.596,0.516,0.404,0.348,0.7,0.245,0.695,70.5,106.5,105.9,109.3
LSU,0.153,0.263,0.655,0.545,0.345,0.331,0.708,0.32,0.764,72,119.9,106.7,105
Maine,0.186,0.258,0.63,0.512,0.37,0.312,0.685,0.165,0.643,66.7,91.7,112,113.2
Manhattan,0.153,0.24,0.629,0.478,0.371,0.32,0.633,0.263,0.796,70.3,104.6,120.8,111.6
Marist,0.165,0.216,0.654,0.498,0.346,0.322,0.734,0.273,0.781,68.1,99.8,102.7,112.9
Marquette,0.156,0.233,0.579,0.526,0.421,0.318,0.68,0.273,0.675,72.9,112.1,102.1,104.3
Marshall,0.161,0.233,0.557,0.546,0.443,0.368,0.685,0.302,0.73,72.7,112.1,115.3,111.8
Maryland,0.181,0.253,0.531,0.486,0.469,0.317,0.735,0.316,0.722,68.8,111.3,106.8,102.8
Maryland ES,0.233,0.251,0.665,0.499,0.335,0.29,0.683,0.307,0.715,67.3,94.7,115.4,113
McNeese,0.137,0.253,0.648,0.523,0.352,0.317,0.684,0.335,0.744,69.1,114.5,102,109.4
Memphis,0.183,0.245,0.663,0.494,0.337,0.316,0.669,0.331,0.721,74.1,107.5,104.6,106.8
Mercer,0.147,0.272,0.608,0.53,0.392,0.356,0.683,0.309,0.73,71.2,111.9,113.8,113.8
Mercyhurst,0.139,0.23,0.689,0.5,0.311,0.321,0.725,0.238,0.741,67.3,101.3,112,113.6
Merrimack,0.145,0.252,0.539,0.491,0.461,0.327,0.608,0.225,0.788,66,106.7,107.3,111
Miami,0.158,0.252,0.681,0.567,0.319,0.349,0.763,0.344,0.683,70.9,121,100.4,105.8
Miami OH,0.14,0.264,0.544,0.61,0.456,0.371,0.732,0.235,0.749,73.6,117.1,108.5,112.2
Michigan,0.159,0.264,0.581,0.613,0.419,0.369,0.755,0.339,0.742,73.4,128.2,89.3,102.5
Michigan St,0.168,0.272,0.636,0.534,0.364,0.363,0.8,0.363,0.764,68.9,123.1,94.3,104.2
Middle Tenn,0.167,0.23,0.547,0.523,0.453,0.338,0.726,0.278,0.702,69.9,109.3,109.8,108.9
Milwaukee,0.148,0.245,0.619,0.508,0.381,0.323,0.729,0.308,0.687,70.8,106.6,115.4,112.2
Minnesota,0.161,0.258,0.528,0.563,0.472,0.342,0.74,0.242,0.694,65.4,113.6,103.5,105.7
Miss Valley St,0.214,0.243,0.698,0.456,0.302,0.295,0.657,0.241,0.716,71.7,90.5,121.7,112.2
Mississippi,0.136,0.243,0.645,0.508,0.355,0.332,0.701,0.258,0.749,71.5,114.2,101.5,104.5
Mississippi St,0.157,0.226,0.599,0.534,0.401,0.324,0.711,0.277,0.66,73.9,112.8,105.8,104.5
Missouri,0.173,0.261,0.635,0.565,0.365,0.35,0.71,0.322,0.691,70.8,119.3,104.3,105
Missouri St,0.162,0.27,0.587,0.522,0.413,0.33,0.698,0.28,0.673,69.5,109.2,112.1,109.8
Monmouth,0.162,0.243,0.656,0.487,0.344,0.342,0.685,0.294,0.75,69.4,106.1,107.2,110.1
Montana,0.192,0.236,0.582,0.565,0.418,0.366,0.72,0.179,0.773,72.5,106.7,108.7,110.5
Montana St,0.145,0.237,0.553,0.531,0.447,0.361,0.733,0.251,0.74,69.1,111,108.2,110.8
Morehead St,0.176,0.269,0.695,0.497,0.305,0.32,0.667,0.346,0.741,69.1,106.9,117.4,111.3
Morgan St,0.171,0.265,0.648,0.449,0.352,0.317,0.674,0.268,0.743,73.5,99.5,121.1,113.4
Mt St Mary's,0.22,0.227,0.574,0.518,0.426,0.327,0.727,0.317,0.674,69.3,99.6,109,111.6
Murray St,0.16,0.268,0.552,0.55,0.448,0.35,0.714,0.319,0.755,73.8,116,112.4,108.7
N Alabama,0.171,0.257,0.663,0.491,0.337,0.307,0.7,0.283,0.684,68,99.6,118.9,113.7
N Arizona,0.157,0.241,0.633,0.507,0.367,0.356,0.678,0.219,0.689,66.7,105.1,119.8,110.8
N Colorado,0.151,0.215,0.585,0.581,0.415,0.35,0.781,0.241,0.758,72.9,112.2,110.7,111.5
N Dakota St,0.153,0.225,0.572,0.533,0.428,0.354,0.766,0.311,0.714,70.7,111.6,107,112.3
N Florida,0.175,0.213,0.483,0.534,0.517,0.35,0.636,0.225,0.778,73.9,107,124.5,111.6
N Illinois,0.213,0.254,0.55,0.485,0.45,0.309,0.708,0.275,0.657,70.7,97,114.5,110.5
N Iowa,0.141,0.224,0.609,0.549,0.391,0.347,0.752,0.195,0.692,65.2,109.8,98.8,108.1
N Kentucky,0.159,0.262,0.551,0.555,0.449,0.336,0.701,0.305,0.721,73.1,109.6,110.2,114.5
N Texas,0.163,0.258,0.677,0.474,0.323,0.287,0.705,0.319,0.7,69.6,103.7,101,109
Navy,0.165,0.28,0.669,0.527,0.331,0.358,0.744,0.305,0.736,67.3,107.7,106.1,115.2
NC A&T,0.181,0.271,0.673,0.523,0.327,0.316,0.735,0.294,0.735,71.3,105.2,116.3,111.4
NC Asheville,0.17,0.273,0.664,0.501,0.336,0.351,0.698,0.282,0.684,69.5,105,111.5,111.7
NC Central,0.177,0.256,0.661,0.467,0.339,0.326,0.619,0.272,0.738,68.5,100.1,121.1,112.5
NC Greensboro,0.146,0.268,0.598,0.51,0.402,0.356,0.718,0.254,0.704,70.8,107.7,119.8,114.3
NC State,0.128,0.237,0.566,0.526,0.434,0.388,0.708,0.264,0.768,71.6,123.1,103.9,104.4
NC Wilmington,0.145,0.273,0.612,0.491,0.388,0.35,0.756,0.344,0.687,67.9,111.3,106.3,111.4
Nebraska,0.142,0.223,0.489,0.58,0.511,0.355,0.747,0.255,0.755,68.5,119.5,92.9,104.6
Nevada,0.145,0.291,0.677,0.482,0.323,0.358,0.748,0.307,0.757,69.2,115.7,103.8,106.6
New Hampshire,0.162,0.229,0.569,0.474,0.431,0.305,0.756,0.237,0.651,70.5,95.3,116,112.6
New Haven,0.173,0.242,0.602,0.51,0.398,0.302,0.746,0.192,0.702,64.7,96.2,112.3,112.5
New Mexico,0.146,0.263,0.581,0.536,0.419,0.356,0.736,0.292,0.727,71.9,117.5,100.5,106.5
New Mexico St,0.146,0.24,0.613,0.485,0.387,0.324,0.719,0.311,0.735,69.9,109,110.3,109.7
New Orleans,0.198,0.286,0.663,0.506,0.337,0.318,0.683,0.336,0.743,72.4,109.8,112,107.9
Niagara,0.184,0.237,0.595,0.505,0.405,0.337,0.701,0.216,0.722,65.1,99.8,118.1,112.1
Nicholls,0.17,0.24,0.561,0.512,0.439,0.333,0.68,0.27,0.662,69.9,105.8,112.1,108.6
NJIT,0.167,0.239,0.599,0.475,0.401,0.304,0.7,0.238,0.705,69.6,96.6,113.5,112.8
Norfolk St,0.182,0.261,0.694,0.484,0.306,0.342,0.69,0.296,0.681,70.9,101.5,116.8,113.3
North Carolina,0.135,0.256,0.578,0.565,0.422,0.342,0.756,0.288,0.682,71.1,120.7,100.6,104.3
North Dakota,0.138,0.258,0.594,0.497,0.406,0.327,0.689,0.258,0.695,71.1,106.8,116.6,111.8
Northeastern,0.16,0.228,0.622,0.536,0.378,0.337,0.717,0.251,0.69,71.4,107.5,118.3,110.1
Northwestern,0.127,0.242,0.66,0.529,0.34,0.33,0.677,0.256,0.751,67.3,117.6,104.1,104.2
Notre Dame,0.165,0.26,0.565,0.514,0.435,0.356,0.763,0.293,0.697,69.5,115.5,107,104.5
NW State,0.178,0.278,0.661,0.48,0.339,0.332,0.691,0.233,0.74,67.1,102.3,112.5,108.7
Oakland,0.143,0.257,0.66,0.53,0.34,0.347,0.676,0.284,0.751,73.1,115.4,115.1,110.7
Ohio,0.151,0.268,0.619,0.545,0.381,0.301,0.692,0.264,0.71,72.7,107.9,113.7,110.4
Ohio St,0.15,0.272,0.599,0.58,0.401,0.357,0.715,0.274,0.777,68.7,124,101.9,103.1
Oklahoma,0.139,0.25,0.559,0.548,0.441,0.364,0.696,0.317,0.751,71.2,123.8,105.5,104.3
Oklahoma St,0.154,0.241,0.645,0.526,0.355,0.339,0.713,0.282,0.745,76.6,119.5,108.7,103.2
Old Dominion,0.151,0.239,0.638,0.488,0.362,0.36,0.716,0.23,0.733,72.6,106.1,113.1,111.5
Omaha,0.157,0.247,0.591,0.53,0.409,0.34,0.731,0.226,0.732,70.6,106.1,114.4,111.7
Oral Roberts,0.181,0.236,0.544,0.511,0.456,0.32,0.7,0.266,0.74,71.4,102,115.2,111.6
Oregon,0.172,0.242,0.572,0.505,0.428,0.321,0.695,0.308,0.732,68.3,111.8,104.7,103.9
Oregon St,0.174,0.288,0.557,0.488,0.443,0.35,0.693,0.248,0.772,68.6,109.2,110,107.4
Pacific,0.195,0.231,0.647,0.513,0.353,0.358,0.775,0.323,0.755,67.9,110.7,105.4,107.8
Penn,0.15,0.257,0.646,0.465,0.354,0.383,0.704,0.283,0.694,71,107.6,106.6,109.8
Penn St,0.153,0.246,0.619,0.558,0.381,0.324,0.698,0.238,0.75,68.7,114.2,111.9,105.1
Pepperdine,0.179,0.258,0.608,0.48,0.392,0.314,0.674,0.259,0.758,71.8,105.3,113.6,107.4
Pittsburgh,0.169,0.238,0.574,0.517,0.426,0.334,0.743,0.317,0.674,66.6,113.6,106.4,104.6
Portland,0.192,0.243,0.646,0.547,0.354,0.299,0.702,0.26,0.74,72,106.1,109.2,107.8
Portland St,0.165,0.249,0.656,0.515,0.344,0.326,0.763,0.268,0.71,71.6,103.5,102.2,112.1
Prairie View,0.154,0.271,0.694,0.465,0.306,0.329,0.661,0.239,0.756,74.4,101.2,111.4,112.8
Presbyterian,0.188,0.251,0.72,0.523,0.28,0.316,0.721,0.315,0.685,68.7,103.3,112.2,112.1
Princeton,0.167,0.246,0.555,0.486,0.445,0.339,0.742,0.247,0.748,66.6,105.5,112.7,110.2
